logM200,sigma
14.07328,635.1595
13.5242,634.7185
13.95255,634.0655
13.92113,633.8076
13.43892,633.6557
14.57388,633.5395
14.38411,633.4255
14.16379,633.1244
14.69331,632.4856
13.97118,630.9398
13.32535,629.6705
13.70035,629.5376
14.0263,628.4053
14.23545,628.1295
13.94514,627.7521
14.46389,625.8716
13.71016,625.4195
14.03595,625.4028
13.71059,625.1538
13.49276,625.1538
14.13993,625.1281
13.70465,624.8882
13.90079,624.8882
14.23041,624.6544
13.84128,624.0911
13.47035,623.2941
13.60064,623.2941
14.19685,623.1169
14.12111,623.1169
14.34105,622.8892
14.25922,622.6042
13.27825,622.497
13.2446,621.7
13.20649,621.4343
13.93834,621.3457
14.81924,620.1878
13.97917,620.1779
14.19797,620.0815
14.49836,619.6385
14.24002,619.5791
13.4842,619.0431
14.19786,618.7774
14.09334,618.7395
13.78615,618.7243
13.90578,618.5118
14.04341,618.2461
13.19918,618.2461
13.93821,617.9627
14.33678,617.4675
13.93699,617.449
14.18088,617.2797
14.22158,616.8272
14.41467,616.8003
14.14462,616.5634
14.15171,616.4748
14.16508,616.0826
13.65254,615.0579
14.1864,614.2608
13.99239,613.6608
13.71631,613.3752
14.31141,612.8438
13.54658,612.6667
13.62621,612.3125
13.68998,612.0468
13.30151,611.3383
14.298,610.3641
13.68325,610.3135
14.16987,609.5848
14.27403,608.9471
14.69978,608.4664
13.96446,607.9819
14.20704,607.353
13.47666,606.8217
14.32442,606.3283
13.8996,606.0246
14.1248,605.8475
13.87248,605.7589
14.06447,605.2807
13.43888,605.2276
14.21902,604.5634
13.86114,604.1648
14.00981,603.6187
13.64712,602.7301
13.97295,602.5707
13.61458,602.305
14.2303,601.7737
13.39364,601.508
14.28283,600.9766
14.31412,600.8349
14.08795,599.967
13.90477,599.6482
13.82293,599.5107
14.39986,598.9336
13.67334,598.8512
13.97756,598.674
13.43316,598.5855
13.79326,598.4792
14.35666,598.3198
13.31541,597.2571
14.12176,597.1596
13.90264,597.0622
14.21601,597.0618
14.08441,596.77
14.20454,596.4157
13.93394,596.2386
13.96924,595.9306
13.9912,595.1446
14.96319,594.9996
13.70117,594.7267
13.95838,594.2931
13.80851,593.9915
13.90965,593.8917
13.55511,593.5375
14.09109,593.5135
13.9258,593.5122
13.59197,593.2718
13.71142,593.0061
13.6223,592.7404
13.91347,592.7159
13.6596,592.6164
13.9538,592.5795
14.21506,592.489
13.99708,591.9495
13.85619,591.9434
14.04791,591.7113
13.45697,591.6777
14.04973,591.5596
13.56428,590.8806
13.47224,590.8806
13.96902,590.7288
14.18063,590.7035
14.23094,590.6293
13.42064,590.615
14.19587,590.2829
14.02753,589.995
13.17503,589.8179
13.74129,589.6775
14.2005,589.6408
13.50969,589.6408
13.44507,589.5522
13.87283,589.3595
13.77652,589.1917
13.82253,589.074
13.48708,588.5085
13.83802,587.1611
13.72324,587.0282
13.74177,586.3197
13.82648,586.24
13.86044,585.1419
13.41463,585.0356
14.03504,584.7256
13.60268,584.2385
13.8948,583.9729
14.00465,583.97
14.86398,583.8357
13.97084,583.4415
13.59148,582.733
14.01133,582.6878
14.01427,582.5559
13.84974,582.4531
14.06954,582.4319
14.11737,582.3788
14.08799,582.2371
14.23404,582.0558
14.342,581.8109
13.89239,581.6703
14.43835,580.9745
13.51655,580.9365
13.50487,580.519
13.19693,580.519
14.51288,579.412
13.83121,579.1906
13.70375,579.1906
13.78947,579.1906
14.13114,579.1604
14.66306,578.8883
14.0785,578.7655
14.20098,578.6592
14.34027,578.5263
13.50178,578.4821
14.02236,578.3049
13.59509,578.2341
14.42602,578.1784
14.00464,578.1721
13.81342,578.1531
13.93182,578.0013
13.93122,577.7736
14.00917,577.5433
13.49771,577.3308
13.64554,577.0651
14.0862,576.9322
13.86533,576.7994
14.0948,576.7564
13.79407,576.4806
13.51676,576.1795
13.9167,574.8227
14.01301,574.7448
13.65733,574.6739
13.86468,574.2311
14.30983,572.9913
14.44964,572.8141
13.94233,572.7828
14.11,572.6459
13.74692,572.1057
14.51579,572.0388
13.52269,571.9994
14.20564,571.9902
13.69894,571.8046
13.50792,571.7514
13.98282,571.6281
13.90515,571.5005
13.79834,571.22
13.96984,571.0702
13.93092,570.7169
13.76589,570.5674
13.69574,570.4761
13.78112,570.4646
14.19608,569.9802
13.93831,569.8916
13.95672,569.8562
14.09733,569.6596
13.93724,569.6259
13.96873,569.2978
14.19083,568.9538
14.15348,568.8057
14.02418,568.7226
14.37618,567.8255
13.81733,567.7662
13.77195,567.6994
14.2652,567.5005
13.75023,567.1462
14.31223,566.9691
13.27697,566.9691
13.20938,566.7034
13.26621,566.6503
13.49336,566.6149
13.81603,566.3871
14.13069,566.1422
14.11511,566.1189
14.37051,566.0867
14.20374,565.5521
14.45577,565.5015
14.36629,565.4805
13.76383,565.1093
14.54593,564.4894
13.78825,564.4261
13.32505,563.5152
13.94958,563.4267
13.59211,563.3027
14.11978,562.7182
13.95749,562.054
14.13197,561.9654
14.2304,561.7726
14.02532,561.706
13.2271,561.6554
13.54776,561.6554
14.01489,561.099
13.81313,560.9975
13.63443,560.4333
13.51819,560.327
13.49099,560.2207
13.80756,560.0613
13.905,559.8842
14.54037,559.5806
14.0267,559.53
14.18138,559.3528
13.92588,559.1338
13.78038,558.9986
14.22549,558.8215
13.79695,558.7751
13.56342,558.4925
13.58137,558.4672
12.89165,557.6702
14.01436,557.5159
13.46073,557.4045
13.84267,557.4045
13.52905,557.1388
13.93051,557.1068
13.86379,556.696
13.88784,556.6942
14.19217,556.4683
13.47621,556.3418
14.25958,556.1842
13.5806,555.7851
14.13857,555.7474
14.04953,555.279
13.60697,555.279
13.76165,555.2641
14.42338,554.8995
13.44113,554.7477
14.03481,554.7477
13.586,554.7477
13.3116,554.2163
14.7682,553.9248
13.67953,553.6849
13.94864,553.6695
13.99489,553.4146
14.02752,553.3011
13.68545,552.755
13.76995,552.5922
13.92905,552.4893
13.44149,552.2679
13.91119,552.0465
13.72928,552.0465
13.82743,551.8884
13.11397,551.8251
13.34108,551.7366
13.88174,551.5762
13.13595,551.5594
14.09667,551.4266
13.93438,550.851
13.73187,550.6738
14.04069,550.492
13.94734,549.6997
13.33875,549.6997
13.5068,549.5668
13.67021,549.2569
13.94425,549.1937
13.88488,549.1683
13.82136,549.0091
14.07893,548.9026
14.02798,548.7769
14.11374,548.6369
13.99266,548.1941
13.82502,548.1056
14.058,547.5742
14.08958,547.4673
13.92245,547.3971
13.3801,547.3085
13.83025,547.3085
13.69938,547.096
14.31261,547.0708
13.5359,546.9543
13.33353,546.5646
14.42878,546.2081
13.76109,545.7236
13.28899,545.4487
13.60601,545.2716
13.90655,544.8674
13.65776,544.7579
13.26328,544.6517
14.01312,544.2974
13.96784,544.1806
13.6683,543.7008
13.52728,543.5889
13.99186,543.2347
14.15282,542.5262
14.1454,542.3378
13.69476,542.3137
13.61586,542.2605
13.70628,542.2605
13.74068,541.9695
13.6884,541.8177
14.24996,541.8145
13.7345,541.7619
13.42168,541.3749
14.05615,541.2421
13.8899,540.3534
13.97721,539.8011
14.1906,539.6922
13.96371,539.6037
13.44405,539.338
13.69393,539.0723
13.40763,538.9838
13.82619,538.6826
13.81732,538.5409
14.4396,538.3194
13.87682,538.1867
14.01391,537.6091
13.7663,537.5668
13.45333,537.4782
13.93299,537.086
14.1035,537.0227
13.09845,536.9468
14.2034,536.504
13.34588,536.4155
13.50487,536.1498
13.64305,535.6184
14.05342,535.3527
13.82276,534.9985
14.12324,534.9099
13.9633,534.9099
14.35041,534.5557
13.80883,534.4169
13.68841,534.3431
13.53891,534.2738
14.29777,534.0243
14.22151,533.8177
14.49397,533.7522
13.57436,533.6701
13.68032,533.493
14.01105,533.493
13.80647,533.1703
13.37134,532.4302
14.50016,532.0001
14.08562,531.9563
13.70519,531.8704
14.18208,531.3444
13.86733,531.2841
13.9349,531.2346
13.61026,531.2258
14.0683,530.7033
14.0195,530.5704
13.86897,530.5704
13.31092,530.0391
14.00204,529.9758
14.26871,529.9751
14.05572,529.9505
13.48625,529.7734
13.28432,529.7734
13.39915,529.242
14.01356,529.1798
14.05856,528.9763
13.19389,528.9763
13.55337,528.8878
13.92381,528.7106
13.67712,528.7106
14.10778,528.5526
13.70735,528.4784
13.73071,528.2856
13.59478,527.9136
13.65723,527.7808
13.77462,527.6479
13.91878,527.3822
13.35306,527.3822
13.3342,526.8509
13.85727,526.7623
13.49954,526.6737
14.10316,526.5852
13.43573,526.3195
13.88633,526.0538
14.10709,525.7881
13.60058,525.6996
13.77659,525.4256
14.52893,525.4201
14.23646,525.301
13.69607,525.2715
13.09156,525.2568
14.01098,525.2462
13.71615,525.1682
14.43986,524.6991
13.68993,524.6191
13.39237,524.1055
13.82617,523.9405
13.82222,523.4501
13.69554,523.397
13.38765,523.397
13.82932,523.1313
13.94164,522.9738
13.84413,522.9719
13.89591,522.9542
14.19737,522.8656
13.91134,522.8656
14.02682,522.7233
13.76127,522.7062
13.69272,522.4185
14.09895,522.3868
13.7395,522.3342
13.54015,522.3342
13.90201,521.8029
13.71432,521.8029
13.94129,521.554
13.4529,521.5372
13.40212,521.2184
13.49022,521.1387
13.84517,521.1387
13.88663,520.9203
13.58894,520.7401
14.0315,520.5916
14.02883,520.2551
13.74316,520.0316
13.61185,519.5003
13.30724,519.456
13.4695,519.4117
13.2989,518.8803
13.55652,518.8803
13.58419,518.6147
13.74187,518.349
14.25195,518.2427
14.06587,518.0855
13.73565,518.0833
13.22238,518.0833
13.42678,517.8176
14.06487,517.672
13.54448,517.5519
14.30197,517.5519
13.82186,517.5519
13.62449,517.3748
13.76353,517.0206
13.65815,516.932
13.32551,516.932
13.90704,516.5161
13.41953,516.4892
14.05999,516.3845
13.10055,516.2235
13.80693,516.0021
13.62922,515.9578
13.26542,515.9578
13.64006,515.6921
13.21334,515.6921
13.26806,515.639
14.38108,515.5391
13.66511,515.2273
13.22664,515.1608
13.8217,515.0722
13.82259,514.6737
13.55529,514.6294
13.28587,514.6294
14.11699,514.3682
14.03932,514.1441
13.45077,514.098
14.00692,514.0538
13.64913,514.0095
14.06736,513.8766
13.994,513.8324
14.04115,513.8324
13.07368,513.8324
13.50962,513.5667
13.58537,513.301
13.8942,513.2279
13.833,513.1239
13.65752,513.1239
13.84166,512.972
13.72284,512.9467
13.45995,512.428
13.30069,512.3977
13.44624,512.2383
13.78419,512.1215
14.00469,511.9346
13.69865,511.7069
13.85111,511.5361
14.04066,511.1755
13.86046,511.1755
13.93877,510.9278
13.59735,510.6442
13.78212,510.5113
13.82591,510.343
13.65359,510.1128
13.89721,509.8471
13.62772,509.8471
13.85041,509.5814
14.08994,509.36
14.00823,509.2713
13.9544,509.1816
14.08472,509.0801
14.15775,509.0501
14.32281,508.9615
13.8861,508.8729
14.18375,508.8729
13.41681,508.7844
13.19386,508.7844
14.4468,508.7401
13.93853,508.7151
13.48651,508.5187
13.72211,508.3416
13.7008,508.253
14.26918,508.0316
13.67919,507.9873
14.13746,507.9114
13.88656,507.7216
13.44846,507.7216
13.70282,507.7216
13.55512,507.332
13.62619,507.0574
14.16082,506.9689
13.72489,506.7475
13.65621,506.6589
13.80353,506.6462
13.61339,506.4818
13.90178,506.3932
14.31151,506.27
14.0783,506.2161
13.78967,505.9061
13.73899,505.6847
13.49283,505.5962
13.44751,505.5962
13.92428,505.0648
14.05149,505.0648
13.6136,504.9762
13.31672,504.7991
13.93192,504.7283
13.72971,504.6568
13.79364,504.5777
13.61583,504.5334
13.51789,504.5334
13.62077,504.5334
14.01707,504.4449
13.97396,504.3209
13.46443,504.2677
13.81521,504.2677
13.85411,504.1083
14.00977,503.8426
13.48601,503.205
14.08801,503.1291
13.92605,502.952
13.63485,502.8508
13.91338,502.6847
13.37597,502.5408
13.92765,502.4102
13.67213,501.8766
14.00161,501.4749
13.64302,501.3452
13.11961,501.3452
14.05631,501.0795
13.41783,500.5482
13.46589,500.5482
13.37314,500.3268
13.71776,500.0358
13.77076,500.0168
13.58182,499.8397
13.68099,499.8397
13.42414,499.7511
13.7765,499.7511
13.09096,499.7511
13.558,499.4854
13.71413,499.4601
14.16579,499.3443
13.7179,499.2198
13.6417,499.2198
13.39089,499.2198
13.91942,499.1755
14.09949,499.0869
14.13897,499.0214
13.85196,498.8372
13.58172,498.8212
13.10379,498.6884
13.91538,498.5279
13.58561,498.2456
13.7368,498.0685
